,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
5998,Staphylococcus aureus[gi|92595xxxx],,,,,,,,,,
5999,Staphylococcus aureus[gi|92595xxxx],,,,,,,,,,
6000,Staphylococcus aureus[gi|92595xxxx],,,,,,,,,,
6001,Staphylococcus aureus[gi|92595xxxx],,,,,,,,,,
6002,Staphylococcus aureus[gi|92596xxxx],,,,,,,,,,
6003,Staphylococcus aureus[gi|92596xxxx],,,,,,,,,,
6004,Staphylococcus aureus[gi|92596xxxx],,,,,,,,,,
6005,Staphylococcus aureus[gi|92597xxxx],,,,,,,,,,
6006,Staphylococcus aureus[gi|92597xxxx],,,,,,,,,,
6007,Staphylococcus aureus[gi|92597xxxx],,,,,,,,,,
6008,Staphylococcus aureus[gi|92597xxxx],,,,,,,,,,
6009,Staphylococcus aureus[gi|92598xxxx],,,,,,,,,,
6010,Staphylococcus aureus[gi|92598xxxx],,,,,,,,,,
6011,Staphylococcus aureus[gi|92598xxxx],,,,,,,,,,
6012,Staphylococcus aureus[gi|92598xxxx],,,,,,,,,,
6013,Staphylococcus aureus[gi|92599xxxx],,,,,,,,,,
6014,Staphylococcus aureus[gi|92599xxxx],,,,,,,,,,
6015,Staphylococcus aureus[gi|92599xxxx],,,,,,,,,,
6016,Staphylococcus aureus[gi|92599xxxx],,,,,,,,,,
6017,Staphylococcus aureus[gi|92600xxxx],,,,,,,,,,
6018,Staphylococcus aureus[gi|92600xxxx],,,,,,,,,,
6019,Staphylococcus aureus[gi|92600xxxx],,,,,,,,,,
6020,Staphylococcus aureus[gi|92601xxxx],,,,,,,,,,
6021,Staphylococcus aureus[gi|92601xxxx],,,,,,,,,,
6022,Staphylococcus aureus[gi|92601xxxx],,,,,,,,,,
6023,Staphylococcus aureus[gi|92601xxxx],,,,,,,,,,
6024,Staphylococcus aureus[gi|92602xxxx],,,,,,,,,,
6025,Staphylococcus aureus[gi|92602xxxx],,,,,,,,,,
6026,Staphylococcus aureus[gi|92602xxxx],,,,,,,,,,
6027,Staphylococcus aureus[gi|92602xxxx],,,,,,,,,,
6028,Staphylococcus aureus[gi|92603xxxx],,,,,,,,,,
6029,Staphylococcus aureus[gi|92603xxxx],,,,,,,,,,
6030,Staphylococcus aureus[gi|92603xxxx],,,,,,,,,,
6031,Staphylococcus aureus[gi|92604xxxx],,,,,,,,,,
6032,Staphylococcus aureus[gi|92604xxxx],,,,,,,,,,
6033,Staphylococcus aureus[gi|92604xxxx],,,,,,,,,,
6034,Staphylococcus aureus[gi|92604xxxx],,,,,,,,,,
6035,Staphylococcus aureus[gi|92605xxxx],,,,,,,,,,
6036,Staphylococcus aureus[gi|92605xxxx],,,,,,,,,,
6037,Staphylococcus aureus[gi|92605xxxx],,,,,,,,,,
6038,Staphylococcus aureus[gi|92605xxxx],,,,,,,,,,
6039,Staphylococcus aureus[gi|92606xxxx],,,,,,,,,,
6040,Staphylococcus aureus[gi|92606xxxx],,,,,,,,,,
6041,Staphylococcus aureus[gi|92606xxxx],,,,,,,,,,
6042,Staphylococcus aureus[gi|92607xxxx],,,,,,,,,,
6043,Staphylococcus aureus[gi|92607xxxx],,,,,,,,,,
6044,Staphylococcus aureus[gi|92607xxxx],,,,,,,,,,
6045,Staphylococcus aureus[gi|92607xxxx],,,,,,,,,,
6046,Staphylococcus aureus[gi|92608xxxx],,,,,,,,,,
6047,Staphylococcus aureus[gi|92608xxxx],,,,,,,,,,
6048,Staphylococcus aureus[gi|92608xxxx],,,,,,,,,,
6049,Staphylococcus aureus[gi|92608xxxx],,,,,,,,,,
6050,Staphylococcus aureus[gi|92609xxxx],,,,,,,,,,
6051,Staphylococcus aureus[gi|92609xxxx],,,,,,,,,,
6052,Staphylococcus aureus[gi|92609xxxx],,,,,,,,,,
6053,Staphylococcus aureus[gi|92609xxxx],,,,,,,,,,
6054,Staphylococcus aureus[gi|92610xxxx],,,,,,,,,,
6055,Staphylococcus aureus[gi|92610xxxx],,,,,,,,,,
6056,Staphylococcus aureus[gi|92610xxxx],,,,,,,,,,
6057,Staphylococcus aureus[gi|92611xxxx],,,,,,,,,,
6058,Staphylococcus aureus[gi|92611xxxx],,,,,,,,,,
6059,Staphylococcus aureus[gi|92611xxxx],,,,,,,,,,
6060,Staphylococcus aureus[gi|92611xxxx],,,,,,,,,,
6061,Staphylococcus aureus[gi|92612xxxx],,,,,,,,,,
6062,Staphylococcus aureus[gi|92612xxxx],,,,,,,,,,
6063,Staphylococcus aureus[gi|92612xxxx],,,,,,,,,,
6064,Staphylococcus aureus[gi|92613xxxx],,,,,,,,,,
6065,Staphylococcus aureus[gi|92613xxxx],,,,,,,,,,
6066,Staphylococcus aureus[gi|92613xxxx],,,,,,,,,,
6067,Staphylococcus aureus[gi|92613xxxx],,,,,,,,,,
6068,Staphylococcus aureus[gi|92614xxxx],,,,,,,,,,
6069,Staphylococcus aureus[gi|92614xxxx],,,,,,,,,,
6070,Staphylococcus aureus[gi|92614xxxx],,,,,,,,,,
6071,Staphylococcus aureus[gi|92614xxxx],,,,,,,,,,
6072,Staphylococcus aureus[gi|92615xxxx],,,,,,,,,,
6073,Staphylococcus aureus[gi|92615xxxx],,,,,,,,,,
6074,Staphylococcus aureus[gi|92615xxxx],,,,,,,,,,
6075,Staphylococcus aureus[gi|92616xxxx],,,,,,,,,,
6076,Staphylococcus aureus[gi|92616xxxx],,,,,,,,,,
6077,Staphylococcus aureus[gi|92616xxxx],,,,,,,,,,
6078,Staphylococcus aureus[gi|92616xxxx],,,,,,,,,,
6079,Staphylococcus aureus[gi|92617xxxx],,,,,,,,,,
6080,Staphylococcus aureus[gi|92617xxxx],,,,,,,,,,
6081,Staphylococcus aureus[gi|92617xxxx],,,,,,,,,,
6082,Staphylococcus aureus[gi|92618xxxx],,,,,,,,,,
6083,Staphylococcus aureus[gi|92618xxxx],,,,,,,,,,
6084,Staphylococcus aureus[gi|92618xxxx],,,,,,,,,,
6085,Staphylococcus aureus[gi|92618xxxx],,,,,,,,,,
6086,Staphylococcus aureus[gi|92619xxxx],,,,,,,,,,
6087,Staphylococcus aureus[gi|92619xxxx],,,,,,,,,,
6088,Staphylococcus aureus[gi|92619xxxx],,,,,,,,,,
6089,Staphylococcus aureus[gi|92619xxxx],,,,,,,,,,
6090,Staphylococcus aureus[gi|92620xxxx],,,,,,,,,,
6091,Staphylococcus aureus[gi|92620xxxx],,,,,,,,,,
6092,Staphylococcus aureus[gi|92620xxxx],,,,,,,,,,
6093,Staphylococcus aureus[gi|92621xxxx],,,,,,,,,,
6094,Staphylococcus aureus[gi|92621xxxx],,,,,,,,,,
6095,Staphylococcus aureus[gi|92621xxxx],,,,,,,,,,
6096,Staphylococcus aureus[gi|92622xxxx],,,,,,,,,,
6097,Staphylococcus aureus[gi|92622xxxx],,,,,,,,,,
6098,Staphylococcus aureus[gi|92622xxxx],,,,,,,,,,
6099,Staphylococcus aureus[gi|92622xxxx],,,,,,,,,,
6100,Staphylococcus aureus[gi|92623xxxx],,,,,,,,,,
6101,Staphylococcus aureus[gi|92623xxxx],,,,,,,,,,
6102,Staphylococcus aureus[gi|94114xxxx],,,,,,,,,,
6103,Staphylococcus aureus[gi|94114xxxx],,,,,,,,,,
6104,Staphylococcus aureus[gi|94114xxxx],,,,,,,,,,
6105,Staphylococcus aureus M81424[gi|58212xxxx],,,,,,,,,,
6106,Staphylococcus aureus M73849[gi|58230xxxx],,,,,,,,,,
6107,Staphylococcus aureus M16220[gi|58237xxxx],,,,,,,,,,
6108,Staphylococcus aureus F83251[gi|58252xxxx],,,,,,,,,,
6109,Staphylococcus aureus T86006[gi|58282xxxx],,,,,,,,,,
6110,Staphylococcus aureus[gi|68644xxxx],,,,,,,,,,
6111,Staphylococcus aureus subsp. aureus 301-188[gi|57850xxxx],,,,,,,,,,
6112,Staphylococcus aureus subsp. aureus CIG1214[gi|37770xxxx],,,,,,,,,,
6113,Staphylococcus aureus M0408[gi|47779xxxx],,,,,,,,,,
6114,Staphylococcus aureus M0513[gi|47783xxxx],,,,,,,,,,
6115,Staphylococcus aureus M1034[gi|47797xxxx],,,,,,,,,,
6116,Staphylococcus aureus M1256[gi|47804xxxx],,,,,,,,,,
6117,Staphylococcus aureus M0946[gi|47819xxxx],,,,,,,,,,
6118,Staphylococcus aureus M0594[gi|57740xxxx],,,,,,,,,,
6119,Staphylococcus aureus M0359[gi|57974xxxx],,,,,,,,,,
6120,Staphylococcus aureus M0426[gi|57985xxxx],,,,,,,,,,
6121,Staphylococcus aureus M0437[gi|57986xxxx],,,,,,,,,,
6122,Staphylococcus aureus M0465[gi|57991xxxx],,,,,,,,,,
6123,Staphylococcus aureus M0522[gi|58000xxxx],,,,,,,,,,
6124,Staphylococcus aureus M0541[gi|58002xxxx],,,,,,,,,,
6125,Staphylococcus aureus M0552[gi|58005xxxx],,,,,,,,,,
6126,Staphylococcus aureus M0590[gi|58011xxxx],,,,,,,,,,
6127,Staphylococcus aureus WMCS6019[gi|58028xxxx],,,,,,,,,,
6128,Staphylococcus aureus UCIM6119[gi|58082xxxx],,,,,,,,,,
6129,Staphylococcus aureus KINW6056[gi|58092xxxx],,,,,,,,,,
6130,Staphylococcus aureus KINW6066[gi|58093xxxx],,,,,,,,,,
6131,Staphylococcus aureus T44444[gi|58477xxxx],,,,,,,,,,
6132,Staphylococcus aureus T86574[gi|58736xxxx],,,,,,,,,,
6133,Staphylococcus aureus F82600[gi|58741xxxx],,,,,,,,,,
6134,Staphylococcus aureus DAR5867[gi|59324xxxx],,,,,,,,,,
6135,Staphylococcus aureus T16600[gi|59965xxxx],,,,,,,,,,
6136,Staphylococcus aureus F42556[gi|60003xxxx],,,,,,,,,,
6137,Staphylococcus aureus T55954[gi|60016xxxx],,,,,,,,,,
6138,Staphylococcus aureus VET0889S[gi|61684xxxx],,,,,,,,,,
6139,Staphylococcus aureus AMMC6119[gi|58073xxxx],,,,,,,,,,
6140,Staphylococcus aureus[gi|68633xxxx],,,,,,,,,,
6141,Porphyromonas sp. 31_2[gi|65941xxxx],,,,,,,,,,
6142,Staphylococcus[gi|44636xxxx],,,,,,,,,,
6143,Staphylococcus aureus subsp. aureus MRSA252[gi|4924xxxx],,,,,,,,,,
6144,Staphylococcus aureus subsp. aureus 55/2053[gi|25727xxxx],,,,,,,,,,
6145,Staphylococcus aureus subsp. aureus 65-1322[gi|25727xxxx],,,,,,,,,,
6146,Staphylococcus aureus subsp. aureus 68-397[gi|25727xxxx],,,,,,,,,,
6147,Staphylococcus aureus subsp. aureus E1410[gi|25728xxxx],,,,,,,,,,
6148,Staphylococcus aureus subsp. aureus M876[gi|25728xxxx],,,,,,,,,,
6149,Staphylococcus aureus subsp. aureus C101[gi|28231xxxx],,,,,,,,,,
6150,Staphylococcus aureus subsp. aureus C427[gi|28231xxxx],,,,,,,,,,
6151,Staphylococcus aureus subsp. aureus M899[gi|28232xxxx],,,,,,,,,,
6152,Staphylococcus aureus subsp. aureus WBG10049[gi|28232xxxx],,,,,,,,,,
6153,Staphylococcus aureus subsp. aureus WW2703/97[gi|28232xxxx],,,,,,,,,,
6154,Staphylococcus aureus subsp. aureus Btn1260[gi|28233xxxx],,,,,,,,,,
6155,Staphylococcus aureus subsp. aureus C160[gi|28259xxxx],,,,,,,,,,
6156,Staphylococcus aureus subsp. aureus A017934/97[gi|28379xxxx],,,,,,,,,,
6157,Staphylococcus aureus subsp. aureus M1015[gi|29092xxxx],,,,,,,,,,
6158,Staphylococcus aureus subsp. aureus 58-424[gi|29109xxxx],,,,,,,,,,
6159,Staphylococcus aureus subsp. aureus M809[gi|29146xxxx],,,,,,,,,,
6160,Staphylococcus aureus subsp. aureus CGS00[gi|31519xxxx],,,,,,,,,,
6161,Staphylococcus aureus subsp. aureus 21195[gi|34185xxxx],,,,,,,,,,
6162,Staphylococcus aureus subsp. aureus 21264[gi|37197xxxx],,,,,,,,,,
6163,Staphylococcus aureus subsp. aureus 21342[gi|37439xxxx],,,,,,,,,,
6164,Staphylococcus aureus subsp. aureus 21345[gi|37440xxxx],,,,,,,,,,
6165,Staphylococcus aureus subsp. aureus CIG1500[gi|37770xxxx],,,,,,,,,,
6166,Staphylococcus aureus subsp. aureus CIG1242[gi|37770xxxx],,,,,,,,,,
6167,Staphylococcus aureus subsp. aureus CIG1605[gi|37771xxxx],,,,,,,,,,
6168,Staphylococcus aureus subsp. aureus CIG1176[gi|37773xxxx],,,,,,,,,,
6169,Staphylococcus aureus subsp. aureus CIG1233[gi|37773xxxx],,,,,,,,,,
6170,Staphylococcus aureus subsp. aureus CIG1267[gi|37775xxxx],,,,,,,,,,
6171,Staphylococcus aureus subsp. aureus CIG149[gi|37775xxxx],,,,,,,,,,
6172,Staphylococcus aureus subsp. aureus 122051[gi|50720xxxx],,,,,,,,,,
6173,Staphylococcus aureus subsp. aureus 21230[gi|61079xxxx],,,,,,,,,,
6174,Staphylococcus aureus subsp. aureus 21275[gi|61079xxxx],,,,,,,,,,
6175,Staphylococcus aureus subsp. aureus[gi|68563xxxx],,,,,,,,,,
6176,Staphylococcus aureus[gi|70116xxxx],,,,,,,,,,
6177,Staphylococcus aureus subsp. aureus[gi|70357xxxx],,,,,,,,,,
6178,Staphylococcus aureus subsp. aureus[gi|72780xxxx],,,,,,,,,,
6179,Staphylococcus aureus subsp. aureus[gi|75823xxxx],,,,,,,,,,
6180,Staphylococcus aureus subsp. aureus[gi|75823xxxx],,,,,,,,,,
6181,Staphylococcus aureus[gi|92757xxxx],,,,,,,,,,
6182,Staphylococcus aureus[gi|94082xxxx],,,,,,,,,,
6183,Staphylococcus aureus[gi|94082xxxx],,,,,,,,,,
6184,Staphylococcus delphini[gi|51799xxxx],,,,,,,,,,
6185,Staphylococcus aureus[gi|44636xxxx],,,,,,,,,,
6186,Staphylococcus aureus subsp. aureus 21235[gi|34184xxxx],,,,,,,,,,
6187,Staphylococcus aureus[gi|68633xxxx],,,,,,,,,,
6188,Staphylococcus aureus H40569[gi|58270xxxx],,,,,,,,,,
6189,Staphylococcus aureus H90284[gi|58289xxxx],,,,,,,,,,
6190,Staphylococcus aureus T67327[gi|58473xxxx],,,,,,,,,,
6191,Staphylococcus aureus T92876[gi|58490xxxx],,,,,,,,,,
6192,Staphylococcus aureus T16676[gi|58493xxxx],,,,,,,,,,
6193,Staphylococcus aureus M46070[gi|58497xxxx],,,,,,,,,,
6194,Staphylococcus aureus T28649[gi|58714xxxx],,,,,,,,,,
6195,Streptococcus marimammalium[gi|64852xxxx],,,,,,,,,,
6196,Staphylococcus aureus[gi|68629xxxx],,,,,,,,,,
6197,Staphylococcus aureus DAR1157[gi|60073xxxx],,,,,,,,,,
6198,Staphylococcus aureus[gi|89636xxxx],,,,,,,,,,
6199,Staphylococcus aureus subsp. aureus EMRSA16[gi|29512xxxx],,,,,,,,,,
6200,Staphylococcus aureus subsp. aureus MN8[gi|29757xxxx],,,,,,,,,,
6201,Staphylococcus aureus subsp. aureus TCH60[gi|31243xxxx],,,,,,,,,,
6202,Staphylococcus[gi|44636xxxx],,,,,,,,,,
6203,Staphylococcus aureus subsp. aureus N315[gi|1370xxxx],,,,,,,,,,
6204,Staphylococcus aureus subsp. aureus Mu50[gi|1424xxxx],,,,,,,,,,
6205,Staphylococcus aureus subsp. aureus MW2[gi|2120xxxx],,,,,,,,,,
6206,Staphylococcus aureus subsp. aureus MSSA476[gi|4924xxxx],,,,,,,,,,
6207,Staphylococcus aureus RF122[gi|8265xxxx],,,,,,,,,,
6208,Staphylococcus aureus subsp. aureus str. Newman[gi|15037xxxx],,,,,,,,,,
6209,Staphylococcus aureus subsp. aureus Mu3[gi|15672xxxx],,,,,,,,,,
6210,Staphylococcus aureus A9781[gi|25778xxxx],,,,,,,,,,
6211,Staphylococcus aureus A9763[gi|25784xxxx],,,,,,,,,,
6212,Staphylococcus aureus A9719[gi|25784xxxx],,,,,,,,,,
6213,Staphylococcus aureus A9635[gi|25784xxxx],,,,,,,,,,
6214,Staphylococcus aureus A9299[gi|25784xxxx],,,,,,,,,,
6215,Staphylococcus aureus A8115[gi|25785xxxx],,,,,,,,,,
6216,Staphylococcus aureus A6300[gi|25785xxxx],,,,,,,,,,
6217,Staphylococcus aureus A6224[gi|25785xxxx],,,,,,,,,,
6218,Staphylococcus aureus A5948[gi|25786xxxx],,,,,,,,,,
6219,Staphylococcus aureus A5937[gi|25786xxxx],,,,,,,,,,
6220,Staphylococcus aureus 930918-3[gi|25916xxxx],,,,,,,,,,
6221,Staphylococcus aureus D30[gi|25916xxxx],,,,,,,,,,
6222,Staphylococcus aureus subsp. aureus TW20[gi|26994xxxx],,,,,,,,,,
6223,Staphylococcus aureus subsp. aureus D139[gi|28231xxxx],,,,,,,,,,
6224,Staphylococcus aureus A10102[gi|28259xxxx],,,,,,,,,,
6225,Staphylococcus aureus A9765[gi|28259xxxx],,,,,,,,,,
6226,Staphylococcus aureus A8117[gi|28276xxxx],,,,,,,,,,
6227,Staphylococcus aureus subsp. aureus H19[gi|28346xxxx],,,,,,,,,,
6228,Staphylococcus aureus 04-02981[gi|28581xxxx],,,,,,,,,,
6229,Staphylococcus aureus subsp. aureus ED133[gi|29869xxxx],,,,,,,,,,
6230,Staphylococcus aureus subsp. aureus str. JKD6008[gi|30275xxxx],,,,,,,,,,
6231,Staphylococcus aureus subsp. aureus ECT-R 2[gi|31282xxxx],,,,,,,,,,
6232,Staphylococcus aureus subsp. aureus T0131[gi|32931xxxx],,,,,,,,,,
6233,Staphylococcus aureus subsp. aureus 21172[gi|32972xxxx],,,,,,,,,,
6234,Staphylococcus aureus subsp. aureus 21189[gi|32972xxxx],,,,,,,,,,
6235,Staphylococcus aureus subsp. aureus 21193[gi|32973xxxx],,,,,,,,,,
6236,Staphylococcus aureus subsp. aureus 21305[gi|33426xxxx],,,,,,,,,,
6237,Staphylococcus aureus subsp. aureus 21318[gi|33427xxxx],,,,,,,,,,
6238,Staphylococcus aureus subsp. aureus 21310[gi|33427xxxx],,,,,,,,,,
6239,Staphylococcus aureus subsp. aureus 21269[gi|34184xxxx],,,,,,,,,,
6240,Staphylococcus aureus subsp. aureus 21259[gi|34184xxxx],,,,,,,,,,
6241,Staphylococcus aureus subsp. aureus 21200[gi|34185xxxx],,,,,,,,,,
6242,Staphylococcus aureus subsp. aureus 21201[gi|34185xxxx],,,,,,,,,,
6243,Staphylococcus aureus subsp. aureus LGA251[gi|34417xxxx],,,,,,,,,,
6244,Staphylococcus aureus subsp. aureus M013[gi|35983xxxx],,,,,,,,,,
6245,Staphylococcus aureus subsp. aureus 11819-97[gi|36452xxxx],,,,,,,,,,
6246,Staphylococcus aureus subsp. aureus 21202[gi|36516xxxx],,,,,,,,,,
6247,Staphylococcus aureus subsp. aureus 21209[gi|36516xxxx],,,,,,,,,,
6248,Staphylococcus aureus subsp. aureus 21178[gi|36517xxxx],,,,,,,,,,
6249,Staphylococcus aureus subsp. aureus VCU006[gi|36522xxxx],,,,,,,,,,
6250,Staphylococcus aureus subsp. aureus 21194[gi|36523xxxx],,,,,,,,,,
6251,Staphylococcus aureus subsp. aureus 21334[gi|36523xxxx],,,,,,,,,,
6252,Staphylococcus aureus subsp. aureus 21340[gi|36524xxxx],,,,,,,,,,
6253,Staphylococcus aureus subsp. aureus 21232[gi|36524xxxx],,,,,,,,,,
6254,Staphylococcus aureus subsp. aureus 21262[gi|37197xxxx],,,,,,,,,,
6255,Staphylococcus aureus subsp. aureus 21252[gi|37197xxxx],,,,,,,,,,
6256,Staphylococcus aureus subsp. aureus 21283[gi|37197xxxx],,,,,,,,,,
6257,Staphylococcus aureus subsp. aureus 21333[gi|37197xxxx],,,,,,,,,,
6258,Staphylococcus aureus subsp. aureus 21272[gi|37198xxxx],,,,,,,,,,
6259,Staphylococcus aureus subsp. aureus VC40[gi|37436xxxx],,,,,,,,,,
6260,Staphylococcus aureus subsp. aureus 21343[gi|37439xxxx],,,,,,,,,,
6261,Staphylococcus aureus subsp. aureus IS-3[gi|37501xxxx],,,,,,,,,,
6262,Staphylococcus aureus subsp. aureus IS-24[gi|37501xxxx],,,,,,,,,,
6263,Staphylococcus aureus subsp. aureus IS-99[gi|37502xxxx],,,,,,,,,,
6264,Staphylococcus aureus subsp. aureus IS-55[gi|37502xxxx],,,,,,,,,,
6265,Staphylococcus aureus subsp. aureus IS-88[gi|37502xxxx],,,,,,,,,,
6266,Staphylococcus aureus subsp. aureus IS-91[gi|37502xxxx],,,,,,,,,,
6267,Staphylococcus aureus subsp. aureus IS-111[gi|37503xxxx],,,,,,,,,,
6268,Staphylococcus aureus subsp. aureus IS-105[gi|37503xxxx],,,,,,,,,,
6269,Staphylococcus aureus subsp. aureus IS-122[gi|37504xxxx],,,,,,,,,,
6270,Staphylococcus aureus subsp. aureus IS-125[gi|37536xxxx],,,,,,,,,,
6271,Staphylococcus aureus subsp. aureus IS-189[gi|37537xxxx],,,,,,,,,,
6272,Staphylococcus aureus subsp. aureus IS-160[gi|37537xxxx],,,,,,,,,,
6273,Staphylococcus aureus subsp. aureus IS-157[gi|37537xxxx],,,,,,,,,,
6274,Staphylococcus aureus subsp. aureus CIG1165[gi|37769xxxx],,,,,,,,,,
6275,Staphylococcus aureus subsp. aureus CIG1057[gi|37769xxxx],,,,,,,,,,
6276,Staphylococcus aureus subsp. aureus CIG1114[gi|37769xxxx],,,,,,,,,,
6277,Staphylococcus aureus subsp. aureus CIG1750[gi|37771xxxx],,,,,,,,,,
6278,Staphylococcus aureus subsp. aureus CIG1769[gi|37771xxxx],,,,,,,,,,
6279,Staphylococcus aureus subsp. aureus CIG1835[gi|37771xxxx],,,,,,,,,,
6280,Staphylococcus aureus subsp. aureus CIG547[gi|37772xxxx],,,,,,,,,,
6281,Staphylococcus aureus subsp. aureus CIG1150[gi|37772xxxx],,,,,,,,,,
6282,Staphylococcus aureus subsp. aureus CIG1213[gi|37773xxxx],,,,,,,,,,
6283,Staphylococcus aureus subsp. aureus CIG1612[gi|37773xxxx],,,,,,,,,,
6284,Staphylococcus aureus subsp. aureus CIG1770[gi|37774xxxx],,,,,,,,,,
6285,Staphylococcus aureus subsp. aureus CIG290[gi|37774xxxx],,,,,,,,,,
6286,Staphylococcus aureus subsp. aureus CIG2018[gi|37774xxxx],,,,,,,,,,
6287,Staphylococcus aureus subsp. aureus CIG1524[gi|37775xxxx],,,,,,,,,,
6288,Staphylococcus aureus subsp. aureus CIGC340D[gi|37775xxxx],,,,,,,,,,
6289,Staphylococcus aureus subsp. aureus CIGC345D[gi|37776xxxx],,,,,,,,,,
6290,Staphylococcus aureus subsp. aureus CIGC348[gi|37776xxxx],,,,,,,,,,
6291,Staphylococcus aureus subsp. aureus CIGC93[gi|37776xxxx],,,,,,,,,,
6292,Staphylococcus aureus subsp. aureus CIGC128[gi|37777xxxx],,,,,,,,,,
6293,Staphylococcus aureus subsp. aureus IS-M[gi|38336xxxx],,,,,,,,,,
6294,Staphylococcus aureus subsp. aureus CO-23[gi|38397xxxx],,,,,,,,,,
6295,Staphylococcus aureus subsp. aureus HO 5096 0412[gi|38519xxxx],,,,,,,,,,
6296,Staphylococcus aureus subsp. aureus str. Newbould 305[gi|39433xxxx],,,,,,,,,,
6297,Staphylococcus aureus CN79[gi|42195xxxx],,,,,,,,,,
6298,Staphylococcus aureus subsp. aureus DSM 20231[gi|43643xxxx],,,,,,,,,,
6299,Staphylococcus aureus subsp. aureus 21282[gi|43650xxxx],,,,,,,,,,
6300,Staphylococcus aureus subsp. aureus 21236[gi|44340xxxx],,,,,,,,,,
6301,Staphylococcus aureus subsp. aureus 21196[gi|44340xxxx],,,,,,,,,,
6302,Staphylococcus aureus M1[gi|47927xxxx],,,,,,,,,,
6303,Staphylococcus aureus subsp. aureus 103564[gi|50719xxxx],,,,,,,,,,
6304,Staphylococcus aureus subsp. aureus 091751[gi|50719xxxx],,,,,,,,,,
6305,Staphylococcus aureus subsp. aureus MRGR3[gi|50719xxxx],,,,,,,,,,
6306,Staphylococcus aureus subsp. aureus CBD-635[gi|50772xxxx],,,,,,,,,,
6307,Staphylococcus aureus CA-347[gi|51400xxxx],,,,,,,,,,
6308,Staphylococcus aureus[gi|52099xxxx],,,,,,,,,,
6309,Staphylococcus aureus SA_ST125_MupR[gi|52340xxxx],,,,,,,,,,
6310,Staphylococcus aureus SA16[gi|52816xxxx],,,,,,,,,,
6311,Staphylococcus aureus subsp. aureus CO-08[gi|53737xxxx],,,,,,,,,,
6312,Staphylococcus aureus subsp. aureus 6850[gi|53737xxxx],,,,,,,,,,
6313,Staphylococcus aureus subsp. aureus SA957[gi|54558xxxx],,,,,,,,,,
6314,Staphylococcus aureus subsp. aureus SA40[gi|54558xxxx],,,,,,,,,,
6315,Staphylococcus aureus subsp. aureus Z172[gi|55459xxxx],,,,,,,,,,
6316,Staphylococcus aureus MUF256[gi|57029xxxx],,,,,,,,,,
6317,Staphylococcus aureus MUM270[gi|57030xxxx],,,,,,,,,,
6318,Staphylococcus aureus subsp. aureus 300-169[gi|57850xxxx],,,,,,,,,,
6319,Staphylococcus aureus subsp. aureus ST 1413[gi|58310xxxx],,,,,,,,,,
6320,Staphylococcus aureus USA300-ISMMS1[gi|58446xxxx],,,,,,,,,,
6321,Staphylococcus aureus subsp. aureus[gi|61039xxxx],,,,,,,,,,
6322,Staphylococcus aureus subsp. aureus 21267[gi|61078xxxx],,,,,,,,,,
6323,Staphylococcus aureus subsp. aureus 21239[gi|61078xxxx],,,,,,,,,,
6324,Staphylococcus aureus subsp. aureus 21304[gi|61079xxxx],,,,,,,,,,
6325,Staphylococcus aureus subsp. aureus 21311[gi|61079xxxx],,,,,,,,,,
6326,Staphylococcus aureus subsp. aureus 21314[gi|61080xxxx],,,,,,,,,,
6327,Staphylococcus aureus subsp. aureus 21337[gi|61080xxxx],,,,,,,,,,
6328,Staphylococcus aureus subsp. aureus 21338[gi|61081xxxx],,,,,,,,,,
6329,Staphylococcus aureus subsp. aureus CO-41[gi|61082xxxx],,,,,,,,,,
6330,Staphylococcus aureus subsp. aureus CO-30[gi|61082xxxx],,,,,,,,,,
6331,Staphylococcus aureus subsp. aureus CO-49[gi|61082xxxx],,,,,,,,,,
6332,Staphylococcus aureus subsp. aureus CO-85[gi|61082xxxx],,,,,,,,,,
6333,Staphylococcus aureus subsp. aureus 21205[gi|62070xxxx],,,,,,,,,,
6334,Staphylococcus aureus subsp. aureus[gi|64126xxxx],,,,,,,,,,
6335,Staphylococcus aureus subsp. aureus[gi|64127xxxx],,,,,,,,,,
6336,Staphylococcus aureus subsp. aureus[gi|64127xxxx],,,,,,,,,,
6337,Staphylococcus aureus subsp. aureus[gi|64127xxxx],,,,,,,,,,
6338,Staphylococcus aureus subsp. aureus CO-99[gi|64528xxxx],,,,,,,,,,
6339,Staphylococcus aureus subsp. aureus CO-86[gi|64528xxxx],,,,,,,,,,
6340,Staphylococcus aureus subsp. aureus 21320[gi|64529xxxx],,,,,,,,,,
6341,Staphylococcus aureus subsp. aureus 21321[gi|64529xxxx],,,,,,,,,,
6342,Staphylococcus aureus[gi|65715xxxx],,,,,,,,,,
6343,Staphylococcus aureus LysK 2 2010[gi|65993xxxx],,,,,,,,,,
6344,Staphylococcus aureus 1101-2 2010[gi|65994xxxx],,,,,,,,,,
6345,Staphylococcus aureus 1101-1 2010[gi|65994xxxx],,,,,,,,,,
6346,Staphylococcus aureus 1801-2 2010[gi|65994xxxx],,,,,,,,,,
6347,Staphylococcus aureus 1801-1 2010[gi|65995xxxx],,,,,,,,,,
6348,Staphylococcus aureus LysK 1 2011[gi|65995xxxx],,,,,,,,,,
6349,Staphylococcus aureus LysK 2 2011[gi|65996xxxx],,,,,,,,,,
